instructor,q09d,q09dReason1,q09dReason2,q09dReason3
2,c,7,,
2,b,1,5,
2,b,8x,,
2,b,1,,
2,c,7,,
2,b,7,,
2,a,2,,
2,a,8x,4,
2,b,5,,
2,a,2,3,
2,b,1,5,
2,c,7,,
2,b,5,uncodeable,
2,a,2,6c,
2,a,6c,6b,
2,a,2,
2,c,7,8x
2,a,2,
2,a,2,6c
2,a,2,8
2,a,3,
2,uncodeable,2,
2,a,8x,
2,uncodeable,7,
2,c,7,
2,b,5,
2,c,7,
2,b,1,
2,b,1,
2,a,2,
2,b,2x,
2,a,2,,
2,a,2,,
2,c,7,,
2,a,6c,2,
2,a,uncodeable,,
2,a,8x,,
2,a,2,6c,
2,a,2,6c,
2,a,2,3,
2,a,2,3,
2,a,2,5x,
2,a,2,6a,
2,a,6c,8,
2,a,8x,,
2,a,2,8,3
2,a,6b,,
2,b,1,,
2,a,6c,,
2,a,2x,,
2,b,uncodeable,,
2,b,1,,
2,c,4,,
2,a,2,,
2,b,1,,
2,a,3,,
2,b,2x,,
2,c,7,4,
2,b,1,,
2,b,1,,
2,a,2,8,3
2,a,2,6b,5x
2,a,2,,
2,uncodeable,uncodeable,,
2,b,1,,
2,b,2x,,
2,b,5,,
2,b,1,,
2,a,2,3,8
2,uncodeable,5x,2,
2,a,2,8x,
2,a,4,3,
2,a,6b,,
2,b,1,,
2,b,1,,
2,blank,blank,,
2,a,2,6a,
2,missingValue,blank,,
2,c,7,,
2,a,2,8x
2,a,2,6b
2,a,2,
2,b,7,
2,a,2,6c
2,b,6a,1
2,a,2,
2,b,uncodeable,
2,b,1,
2,a,2,8x
2,a,8,
2,a,2,6c
2,blank,blank,
2,b,5,
2,a,2,6c
2,b,5,
2,c,2x,7
2,c,uncodeable,
2,c,7,6c
2,b,uncodeable,
2,a,8x,
2,a,8,
2,b,5,
2,b,6c,1
2,a,6a,2
2,a,6b,2
2,a,6b,
2,a,uncodeable,
2,c,7,
2,uncodeable,6b,
2,b,6b,
2,b,5,
2,a,2,6c,
2,a,2,3,
2,a,6c,4,
2,b,1,,
2,a,2,,
2,b,1,,
2,c,7,8x,
2,a,2,,
2,a,2,,
2,b,1,,
2,b,uncodeable,,
2,a,6c,7,
2,b,6b,,
2,a,2,,
2,a,6c,uncodeable,
2,a,2,8,3
2,a,2,3
2,a,2,
2,a,2,6b
2,a,2,
2,a,6c,2
2,a,2,3
2,uncodeable,2,
2,b,2x,uncodeable
2,a,6b,
2,c,7,
2,c,7,
2,a,4,
2,b,6b,
2,c,7,2
2,a,8,
2,c,7,
2,b,5
2,a,8x
2,c,7
2,a,6b
