instructor,q09d,q09dReason1,q09dReason2,q09dReason3
1,a,6b,,
1,b,uncodeable,,
1,a,2,,
1,a,2,,
1,c,7,,
1,b,1,2x,
1,a,2,6b,
1,a,2,3,
1,b,2x,,
1,a,6c,,
1,b,5,,
1,c,2,6a,
1,a,2,,
1,a,2x,3,
1,a,6b,,
1,uncodeable,4,3,
1,a,uncodeable,,
1,c,7,,
1,uncodeable,6b,4,
1,a,2x,3,
1,a,4,8x,
1,a,2,,
1,a,uncodeable,7,
1,uncodeable,6b,7,4
1,a,6b,,
1,b,5,4,
1,a,6a,6b,4
1,c,7,,
1,b,1,6b,
1,missingValue,missingValue,missingValue,missingValue
1,blank,blank,,
1,b,1,
1,a,6c,
1,a,2,
1,a,2,
1,b,6b,7
1,blank,blank,
1,c,5,
1,a,1,4
1,c,7,
1,b,1,3
1,a,2,3
1,b,1,
1,a,6c,8x
1,c,2x,
1,b,1,
1,a,3,
1,a,6b,
1,a,8,4
1,a,6a,
1,blank,blank,
1,c,7,
1,c,7,
1,b,1,
1,c,7,
1,b,uncodeable,
1,b,2x,
1,uncodeable,6a,
1,blank,blank,
1,b,5,
1,a,6b,4
1,b,1,
1,a,6b,
1,a,2,,
1,b,2x,8x,
1,b,1,,
1,a,2,,
1,missingValue,missingValue,,
1,b,uncodeable,,
1,b,1,,
1,blank,blank,,
1,a,6b,,
1,b,1,,
1,b,2x,6bx,
1,a,8,,
1,b,uncodeable,,
1,b,1,,
1,a,6a,6b,4
1,blank,blank,,
1,a,2,,
1,b,1,,
1,uncodeable,7,,
1,c,7,,
1,c,2x,,
1,c,3,,
1,a,2,6c,
1,a,2x,,
1,a,2,3,
1,a,2,6b,
1,c,blank,,
1,c,7,6bx,6ax
1,a,6c,6a,4
1,uncodeable,5x,3,
1,c,uncodeable,2,
1,c,uncodeable,2,
1,uncodeable,5,
1,blank,blank,
1,c,7,
1,b,6a,
1,uncodeable,2x,
1,b,1,
1,b,1,
1,b,5x,
1,b,uncodeable,
1,a,uncodeable,7
1,a,6b,4
1,a,6a,
1,a,uncodeable,6b
1,c,uncodeable,
1,b,1,
1,c,7,
1,b,5,8x
1,a,2,
1,a,2,6b
1,a,2,
1,a,5,uncodeable
1,a,3,
1,a,2,3
1,a,6c,
1,c,7,
1,b,1,
1,b,5,
1,b,8x,4
1,c,7,
1,a,8x,
1,a,6b,2
1,c,7,
1,a,6a,4
1,a,2,8
1,a,2,
1,b,5x,
1,a,8,
1,b,2x,
1,a,3,
1,c,uncodeable,
1,a,3,uncodeable
1,c,6ax,6c
1,b,1,8x
1,b,6bx,
1,b,6bx,
1,b,5,
1,c,8x,
1,b,6b,1
1,a,2
1,b,1
